PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   6   2  -3   4   0.83468  18844.91  40.84059     3.682     3.837   309.697     0.160     0.088     1.180    31.079
   3   2   3   4   0.83460  18842.96  54.68898     3.616     3.783   309.568     0.160     0.088     1.180    30.508
   5   0  -6   2   0.83309  18808.98  47.30331     0.690     0.714   153.671     0.160     0.088     1.178     2.891
   5   3  -4   4   0.83312  18809.59  41.64529     0.043     0.044   307.381     0.160     0.088     1.178     0.358
   1   0  -6   2   0.83301  18807.25  90.73062     0.794     0.828   153.614     0.160     0.088     1.178     3.323
   1   3   4   4   0.83304  18807.86  54.80526     0.023     0.024   307.268     0.160     0.088     1.178     0.192
   4   4  -3   4   0.83254  18796.60  41.05666     1.371     1.431   306.532     0.160     0.088     1.177    11.457
   1   4   3   4   0.83249  18795.52  46.76681     1.183     1.237   306.462     0.160     0.088     1.177     9.882
   6   1  -1   4   0.83194  18782.99  42.01908     2.131     2.265   305.646     0.160     0.088     1.176    17.751
   5   1   1   4   0.83190  18782.20  46.40622     2.012     2.135   305.595     0.160     0.088     1.176    16.760
   3   4  -4   4   0.82972  18732.80  43.10544     1.081     1.138   302.392     0.161     0.089     1.173     8.912
   1   4  -4   4   0.82969  18732.24  46.58998     0.986     1.036   302.355     0.161     0.089     1.173     8.129
   4   3  -5   4   0.82948  18727.52  44.63555     0.050     0.053   302.051     0.161     0.089     1.173     0.415
   1   3  -5   4   0.82944  18726.46  54.57580     0.001     0.001   301.982     0.161     0.089     1.173     0.006
   2   5  -1   4   0.82774  18688.23  40.19878     0.015     0.015   299.524     0.161     0.089     1.170     0.122
   1   5   1   4   0.82773  18688.02  41.02412     0.010     0.010   299.511     0.161     0.089     1.170     0.085
   1   5  -2   4   0.82655  18661.28  40.94834     0.000     0.000   297.800     0.161     0.089     1.168     0.001
   3   2  -6   4   0.82386  18600.53  54.00933     3.776     3.854   293.940     0.162     0.090     1.165    30.249
